USER_SESSION_ID,snippets,kotzbox,guess_hypothesis,issues
411cb6f890f74876bba08fb8a7d59b82,"['codestructure.semantic.single.html', 'countchildren.semantic.normal.html', 'readini.semantic.abbrev.html', 'parsequerystring.syntactic.single.html', 'concatlists.syntactic.normal.html', 'histogram.syntactic.abbrev.html']","langweilig, triviale probleme, waren alle schnell und einfach zu lÃ¶sen, bissel anspruchsvoller bitte","oben in der url steht psychologie, deshalb irgendwas mit tieren","dauernd, nein"
9de567008b7444dea2e0fec3a80cbd5c,"['histogram.semantic.normal.html', 'parsequerystring.semantic.abbrev.html', 'concatlists.semantic.single.html', 'readini.syntactic.normal.html', 'countchildren.syntactic.abbrev.html', 'codestructure.syntactic.single.html']","Zu 15. Haben Sie alle Aufgaben ernsthaft beantwortet, oder wollten Sie nur mal gucken?
Eigentlich wollte ich ""nur mal gucken"". Als Nicht-C#-Programmierer wusste ich nicht ob das Ã¼berhaupt was fÃ¼r mich ist, war aber einfach zu neugierig...
Dann hab ich gleich bei der ersten Aufgabe ein Erfolgserlebnis gehabt und konnte ja auch alles andere lÃ¶sen :) (Okay bis auf den einen Zusatzversuch bei der Syntax-Aufgabe C)

Ansonsten sehr nette Studie, was auch immer genau untersucht wird :) Sehr schÃ¶nes Tool, ausreichend und gute EinfÃ¼hrung und ErklÃ¤rungen.
TatsÃ¤chlich wurde aus meinem: ""Hey Code und Psychologie in einer URL, das sieht interessant aus, mal draufklicken"" ein: ""Okay ich verlÃ¤ngere meine Kaffeepause und arbeite das wirklich durch.""","Ich vermute das aus dem Tool bei genÃ¼gend Probanden einige untersuchbare und auswertbare Daten herausfallen:
* Wichtigkeit von sauber strukturiertem und lesbaren Code fÃ¼r die Analyse durch Menschen.
* Auswirkung von Code-Kommentaren auÃŸerhalb des Sichtbereichs (wie oft haben die Probanden nach oben gescrollt um noch mal nachzulesen)
* Das ganze in Verbindung mit Erfahrung der Probanden in C# und anderen Sprachen (Statistikgedingse)
und vieles mehr...?",
a1f5b052bf2540dcaf5693aec331ed01,"['countchildren.semantic.normal.html', 'codestructure.semantic.single.html', 'readini.semantic.abbrev.html', 'parsequerystring.syntactic.normal.html', 'concatlists.syntactic.single.html', 'histogram.syntactic.abbrev.html']",Die Variablennamen waren bisweilen katastrophal. Empathic Code geht anders!,"Die FÃ¤higkeit, an einer Online-Umfrage teilzunehmen. AuÃŸerdem die Auswirkungen der QualitÃ¤t von Bezeichnern auf die Lesbarkeit und VerstÃ¤ndlichkeit von Code.",
7140e75721074680a24636577baa4c2c,"['parsequerystring.semantic.abbrev.html', 'concatlists.semantic.single.html', 'histogram.semantic.normal.html', 'readini.syntactic.single.html', 'countchildren.syntactic.abbrev.html', 'codestructure.syntactic.normal.html']",Awesome! Weiter so und viel Erfolg mit der BA!,Wie wir Code lesen und verstehen und was sich bzgl. der FehleranfÃ¤lligkeit von Code daraus ergibt.,
3be5a6f61b1741e5bda3bc773036d5d8,"['readini.semantic.normal.html', 'codestructure.semantic.abbrev.html', 'countchildren.semantic.single.html', 'concatlists.syntactic.abbrev.html', 'parsequerystring.syntactic.single.html', 'histogram.syntactic.normal.html']",,Lesbarkeit,
0ba6d88b74f04445941144bfc0fa222d,"['countchildren.semantic.single.html', 'readini.semantic.normal.html', 'codestructure.semantic.abbrev.html', 'histogram.syntactic.abbrev.html', 'parsequerystring.syntactic.single.html', 'concatlists.syntactic.normal.html']",,"Die Auswirkung von CodequalitÃ¤t auf die Lesbarkeit, sowohl semantisch als syntaktisch.",
00b7d4aba419442ba0f98b006d885575,"['readini.semantic.normal.html', 'codestructure.semantic.single.html', 'countchildren.semantic.abbrev.html', 'concatlists.syntactic.abbrev.html', 'histogram.syntactic.single.html', 'parsequerystring.syntactic.normal.html']",,Lesbarkeit von Code,
e3d36e7a919a42d4859dae9722239bda,"['countchildren.semantic.single.html', 'readini.semantic.abbrev.html', 'codestructure.semantic.normal.html', 'parsequerystring.syntactic.single.html', 'histogram.syntactic.abbrev.html', 'concatlists.syntactic.normal.html']",,Wie schnell Leute mit und ohne Erfahrung Fehler im Code finden. Also wie sehr Erfahrung und Talent in der Entwicklung wirken.,Nein
be1b3b6aa0f2481cb47a38d935c9d5f0,"['codestructure.semantic.normal.html', 'countchildren.semantic.single.html', 'readini.semantic.abbrev.html', 'histogram.syntactic.normal.html', 'parsequerystring.syntactic.abbrev.html', 'concatlists.syntactic.single.html']",,Mentales Mapping von Variablennamen auf deren Bedeutung. Wieviel Kontext kann eine Person auf einmal erfassen.,
42efb260aa64492d9423adcbc860eafe,"['readini.semantic.single.html', 'countchildren.semantic.abbrev.html', 'codestructure.semantic.normal.html', 'parsequerystring.syntactic.single.html', 'concatlists.syntactic.abbrev.html', 'histogram.syntactic.normal.html']",,"Es wurde untersucht, wie der Entwickler Fehler im Quelltext findet. Manche Fehlern sind schwer zu finden, anderer einfacher. Aber auch wie die Fehlersuche gemacht wird ist ein groÃŸer Punkt (hin un her schieben der Klappe, um den Quelltext zu verstehen zum Beispiel.

Weil, sehr wichtig, um den Fehler zu finden, muss man vorher den Quelltext verstehen (Was es tut, wie es funktioniert und welches Ablauf hat es)",
