;id;age;sex;job_description;jobtype;academic_degree;subject;mother_tounge;school_leave_qualification;agent;lang;culture;german_level;english_level;years_experience_any;years_experience_csharp;c_or_cpp;csharp;fsharp;java;js;php;vbnet;other_languages;are_you_serious;boomerang_participant;encountered_distraction;has_heard_presentation;is_twitter_follower;legacy_participant;would_participate_again;how_did_you_find_us;guess_hypothesis;issues;kotzbox;snippets;submitted;created;duplicate;source
0;411cb6f890f74876bba08fb8a7d59b82;26;m;Softwareentwickler, Frontend;angestellt;ba;Bachelor of Science, Angewandte Informatik;de;abi;"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36";"de-DE,de;q=0.8,en-US;q=0.6,en;q=0.4";de;6;4;5;3;1;3;0;1;4;0;0;;yes;no;no;no;yes;no;no;twitter;oben in der url steht psychologie, deshalb irgendwas mit tieren;dauernd, nein;langweilig, triviale probleme, waren alle schnell und einfach zu lÃ¶sen, bissel anspruchsvoller bitte;['codestructure.semantic.single.html', 'countchildren.semantic.normal.html', 'readini.semantic.abbrev.html', 'parsequerystring.syntactic.single.html', 'concatlists.syntactic.normal.html', 'histogram.syntactic.abbrev.html'];2015-05-20T12:35:24.388Z;2015-05-20T12:34:36.483570;False;/static/templates/forms/questions3.de.html
1;a1f5b052bf2540dcaf5693aec331ed01;37;m;Software-Entwickler;angestellt;lehre;Industrietechnologe;de;abi;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.65 Safari/537.36";"en,en-US;q=0.8,de-DE;q=0.6,de;q=0.4";de;6;5;10;7;1;4;3;0;2;0;2;Pascal/Delphi, Basic;yes;no;no;yes;yes;2013;yes;Twitter;Die FÃ¤higkeit, an einer Online-Umfrage teilzunehmen. AuÃŸerdem die Auswirkungen der QualitÃ¤t von Bezeichnern auf die Lesbarkeit und VerstÃ¤ndlichkeit von Code.;;Die Variablennamen waren bisweilen katastrophal. Empathic Code geht anders!;['countchildren.semantic.normal.html', 'codestructure.semantic.single.html', 'readini.semantic.abbrev.html', 'parsequerystring.syntactic.normal.html', 'concatlists.syntactic.single.html', 'histogram.syntactic.abbrev.html'];2015-05-20T13:35:04.446Z;2015-05-20T13:34:13.712081;False;/static/templates/forms/questions3.de.html
2;7140e75721074680a24636577baa4c2c;32;m;Master of Science Informatik;student;ba;Bachelor of Science Informatik;de;abi;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36";"de-DE,de;q=0.8,en-US;q=0.6,en;q=0.4";de;5;4;13;10;1;3;1;2;1;1;0;Java, PHP, F#, R, JavaScript, C, C++;yes;no;no;no;yes;2013;yes;Twitter;Wie wir Code lesen und verstehen und was sich bzgl. der FehleranfÃ¤lligkeit von Code daraus ergibt.;;Awesome! Weiter so und viel Erfolg mit der BA!;['parsequerystring.semantic.abbrev.html', 'concatlists.semantic.single.html', 'histogram.semantic.normal.html', 'readini.syntactic.single.html', 'countchildren.syntactic.abbrev.html', 'codestructure.syntactic.normal.html'];2015-05-21T20:42:17.617Z;2015-05-21T20:41:26.701314;False;/static/templates/forms/questions3.de.html
3;0ba6d88b74f04445941144bfc0fa222d;37;m;Vorstand, Entwicklungsleiter;selbststÃ¤ndig;none;Chefabiturient;de;abi;"Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko";de-DE;de;6;5;16;12;1;4;3;2;4;1;4;Delphi, Visual Basic 6.0, Fortran;yes;no;no;no;no;no;yes;Empfehlung eines Kollegen;Die Auswirkung von CodequalitÃ¤t auf die Lesbarkeit, sowohl semantisch als syntaktisch.;;;['countchildren.semantic.single.html', 'readini.semantic.normal.html', 'codestructure.semantic.abbrev.html', 'histogram.syntactic.abbrev.html', 'parsequerystring.syntactic.single.html', 'concatlists.syntactic.normal.html'];2015-05-20T13:05:55.662Z;2015-05-20T13:05:05.782236;False;/static/templates/forms/questions3.de.html
4;b9d7ece73f8e4586959c39a74934d284;37;m;CTO;selbststÃ¤ndig;none;Studium abgebrochen;de;abi;"Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0";"de,en-US;q=0.7,en;q=0.3";de;6;5;20;15;1;4;2;1;2;0;3;;yes;no;no;no;no;no;yes;Arbeitskollege;Lesbarkeit von Code;Nein;Die Ergebnisse wÃ¼rden mich sehr interessieren;['codestructure.semantic.single.html', 'readini.semantic.abbrev.html', 'countchildren.semantic.normal.html', 'concatlists.syntactic.normal.html', 'histogram.syntactic.abbrev.html', 'parsequerystring.syntactic.single.html'];2015-05-20T13:13:56.282Z;2015-05-20T13:13:06.339916;True;/static/templates/forms/questions3.de.html
5;00b7d4aba419442ba0f98b006d885575;20;m;Softwareentwickler .NET;angestellt;lehre;Fachinformatiker Anwendungsentwicklung;de;mr;"Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko";de-DE;de;6;4;4;4;0;4;0;1;2;1;2;;yes;no;no;no;no;no;yes;Kollege;Lesbarkeit von Code;;;['readini.semantic.normal.html', 'codestructure.semantic.single.html', 'countchildren.semantic.abbrev.html', 'concatlists.syntactic.abbrev.html', 'histogram.syntactic.single.html', 'parsequerystring.syntactic.normal.html'];2015-05-20T13:09:54.916Z;2015-05-20T13:09:04.931675;False;/static/templates/forms/questions3.de.html
6;e3d36e7a919a42d4859dae9722239bda;32;m;Expert Consultant, IT Berater in der Finanzbranche mit Schwerpunkt Entwicklung & technische Teamleitung;angestellt;lehre;Fachinformatiker fÃ¼r Anwendungsentwicklung;de;mr;"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0";"de,en-US;q=0.7,en;q=0.3";de;6;4;18;10;1;4;0;1;2;3;4;C#, C++, C, Java, PHP, JavaScript, CSS, HTML, VB.NET, Visual Basic 6, SQL, T-SQL, Ruby, Turbo Pascal;yes;no;no;no;no;2013;yes;Ich weiÃŸ nciht mehr, ist ja schon ne weile her.;Wie schnell Leute mit und ohne Erfahrung Fehler im Code finden. Also wie sehr Erfahrung und Talent in der Entwicklung wirken.;Nein;;['countchildren.semantic.single.html', 'readini.semantic.abbrev.html', 'codestructure.semantic.normal.html', 'parsequerystring.syntactic.single.html', 'histogram.syntactic.abbrev.html', 'concatlists.syntactic.normal.html'];2015-05-20T13:22:40.465Z;2015-05-20T13:21:50.455657;False;/static/templates/forms/questions3.de.html
7;be1b3b6aa0f2481cb47a38d935c9d5f0;30;m;Softwareentwickler;angestellt;msc;Dipl.-Inform. MSc. Informatics;de;other;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.65 Safari/537.36";"en-US,en;q=0.8,de-DE;q=0.6,de;q=0.4";de;4;4;14;12;1;4;1;1;3;1;1;JavaScript, Python, Ruby, CoffeeScript, F#, PowerShell, Bash;yes;no;no;yes;yes;2013;yes;Von dir selbst;Mentales Mapping von Variablennamen auf deren Bedeutung. Wieviel Kontext kann eine Person auf einmal erfassen.;;;['codestructure.semantic.normal.html', 'countchildren.semantic.single.html', 'readini.semantic.abbrev.html', 'histogram.syntactic.normal.html', 'parsequerystring.syntactic.abbrev.html', 'concatlists.syntactic.single.html'];2015-05-20T13:46:25.829Z;2015-05-20T13:45:35.721349;False;/static/templates/forms/questions3.de.html
8;42efb260aa64492d9423adcbc860eafe;32;m;Software Developer;angestellt;ba;Bachelor;other;other;"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko";en-US;de;5;5;15;4;1;4;0;1;1;1;1;Borland C++, Delphi Pascal,;yes;no;no;no;no;no;yes;WeiÃŸ nicht mehr;"Es wurde untersucht, wie der Entwickler Fehler im Quelltext findet. Manche Fehlern sind schwer zu finden, anderer einfacher. Aber auch wie die Fehlersuche gemacht wird ist ein groÃŸer Punkt (hin un her schieben der Klappe, um den Quelltext zu verstehen zum Beispiel.

Weil, sehr wichtig, um den Fehler zu finden, muss man vorher den Quelltext verstehen (Was es tut, wie es funktioniert und welches Ablauf hat es)";;;['readini.semantic.single.html', 'countchildren.semantic.abbrev.html', 'codestructure.semantic.normal.html', 'parsequerystring.syntactic.single.html', 'concatlists.syntactic.abbrev.html', 'histogram.syntactic.normal.html'];2015-05-20T13:24:10.078Z;2015-05-20T13:23:20.104280;False;/static/templates/forms/questions3.de.html
9;fb42e2ec502b42df9a937df5d3964d8d;32;m;Softwareentwickler (Freelancer);selbststÃ¤ndig;msc;Dipl.-Inform. (BA);de;abi;"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36";"de-DE,de;q=0.8,en-US;q=0.6,en;q=0.4";de;5;4;12;8;1;4;0;1;2;2;1;Java, JavaScript, PHP, VB.NET;yes;no;no;no;no;2013;yes;Email;HauptsÃ¤chlich wurde wohl untersucht, welchen Einfluss die Benennung von Variablen auf die VerstÃ¤ndlichkeit des Codes hat.;;"Hat SpaÃŸ gemacht, gerne wieder! Das Ganze kÃ¶nnte sich (mit anderen Code-Beispielen) auch als Challenge vermarkten lassen ;)";['readini.semantic.single.html', 'codestructure.semantic.abbrev.html', 'countchildren.semantic.normal.html', 'histogram.syntactic.single.html', 'concatlists.syntactic.abbrev.html', 'parsequerystring.syntactic.normal.html'];2015-05-20T13:26:38.551Z;2015-05-20T13:25:47.674191;False;/static/templates/forms/questions3.de.html
