participant;trial;task_order;snippet;task;condition;state;linenumber;expected_linenumber;correction;description;duration_s;dialog_s;first_impression_s;thinking_time_s;distance_traveled;average_position;moves
411cb6f890f74876bba08fb8a7d59b82;0;0;codestructure;semantic;single;success;18;18;"d.Add(f);";entweder c zurückliefern oder d die werte hinzufügen, benennung der variablen sind ein grauß;143.621;54.855;88.765;54.855;136.0;12.830882352941176;136
411cb6f890f74876bba08fb8a7d59b82;1;1;countchildren;semantic;normal;success;17;17;"int personAge = int.Parse(numbers[index]);";anzahl kinder als index verwendet;148.911;40.464;108.447;40.464;83.0;13.975903614457831;83
411cb6f890f74876bba08fb8a7d59b82;2;2;readini;semantic;abbrev;success;21;21;"stt.Add(idn, prp);";lne statt prp als value verwendet, vermutlich der fehler ... die kommentare nerven, so wie die variablennamen;185.005;43.326;141.679;43.326;113.0;13.424778761061948;113
411cb6f890f74876bba08fb8a7d59b82;3;0;parsequerystring;syntactic;single;success;19;19;"string h = f[1];";klammer falsch ...;44.531;12.18;32.351;12.18;15.0;11.0;15
411cb6f890f74876bba08fb8a7d59b82;4;1;concatlists;syntactic;normal;success;21;21;"result[index + length] = second;";semicolon fehlt ...;33.261;9.229;24.031;9.229;22.0;13.863636363636363;22
411cb6f890f74876bba08fb8a7d59b82;5;2;histogram;syntactic;abbrev;success;18;18;"frq[chr] += 1;";was zum teufel;29.622;11.205;18.417;11.205;15.0;11.0;15
a1f5b052bf2540dcaf5693aec331ed01;0;0;countchildren;semantic;normal;success;17;17;"int personAge = int.Parse(numbers[index]);";Es wurde nicht die Laufvariable der Schleife als Index für das aktuell auszuwertende Alter verwendet, sondern die Variable, die die Kinder zählt.;159.33;80.341;75.953;83.377;108.0;12.13888888888889;108
a1f5b052bf2540dcaf5693aec331ed01;1;1;codestructure;semantic;single;success;18;18;"d.Add(f);";"Eine gefundene Klammer wird der Definitionsliste für ""Block-Marker"" hinzugefügt, nicht der Ergebnis-Liste. Mit F# wäre das nicht passiert. :D";173.821;113.025;60.796;113.025;91.0;12.076923076923077;91
a1f5b052bf2540dcaf5693aec331ed01;2;2;readini;semantic;abbrev;success;21;21;"stt.Add(idn, prp);";"Statt der ""property"" wird die gesamte Zeile als Wert für das ""setting"" abgelegt.";133.311;35.8;97.511;35.8;223.0;12.349775784753364;223
a1f5b052bf2540dcaf5693aec331ed01;3;0;parsequerystring;syntactic;normal;success;19;19;"string parameterValue = setting[1];";Geschweifte statt eckiger Index-Klammer;82.116;30.332;51.784;30.332;46.0;14.152173913043478;46
a1f5b052bf2540dcaf5693aec331ed01;4;1;concatlists;syntactic;single;success;21;21;"e[f + d] = h;";Fehlendes Semikolon;82.816;14.85;67.966;14.85;64.0;15.65625;64
a1f5b052bf2540dcaf5693aec331ed01;5;2;histogram;syntactic;abbrev;success;18;18;"frq[chr] += 1;";- statt = im Operator +=;56.916;24.459;32.457;24.459;37.0;9.54054054054054;37
7140e75721074680a24636577baa4c2c;0;0;parsequerystring;semantic;abbrev;success;19;19;"string pmt = stt[1];";Zugriff auf das erste Element der gesamten Liste und nicht des Arrays mit zwei Elementen, die aus dem Split('=') hervorgegangen sind.;126.758;55.654;71.104;55.654;46.0;12.23913043478261;46
7140e75721074680a24636577baa4c2c;1;1;concatlists;semantic;single;success;21;21;"e[f + 10] = h;";Ohne Korrektur wird immer nur ein Feld weiter gesprungen für das c-Array. Mit Korrektur wird das c-Array angehängt.;527.081;95.429;272.602;254.479;352.0;12.235795454545455;352
7140e75721074680a24636577baa4c2c;2;2;histogram;semantic;normal;success;18;18;"frequencies[character] += 1;";Nicht den Index addieren, sondern bei einem vorhandenen Zeichen eins addieren.;127.002;51.159;75.843;51.159;59.0;11.271186440677965;59
7140e75721074680a24636577baa4c2c;3;0;readini;syntactic;single;success;21;21;"c.Add(g, h);";Eckige Klammer [ statt runder Klammer (.;42.977;20.305;22.672;20.305;17.0;12.0;17
7140e75721074680a24636577baa4c2c;4;1;countchildren;syntactic;abbrev;success;17;17;"int prs = int.Parse(num[idx]);";Subtraktion anstatt Zuweisung.;96.419;12.35;84.069;12.35;78.0;14.128205128205128;78
