USER_SESSION_ID,snippets,academic_degree,age,are_you_serious,boomerang_participant,c_or_cpp,created,csharp,culture,encountered_distraction,english_level,fsharp,german_level,has_heard_presentation,how_did_you_find_us,is_twitter_follower,java,job_description,jobtype,js,legacy_participant,mother_tounge,other_languages,php,school_leave_qualification,sex,source,subject,submitted,vbnet,would_participate_again,years_experience_any,years_experience_csharp
411cb6f890f74876bba08fb8a7d59b82,"['codestructure.semantic.single.html', 'countchildren.semantic.normal.html', 'readini.semantic.abbrev.html', 'parsequerystring.syntactic.single.html', 'concatlists.syntactic.normal.html', 'histogram.syntactic.abbrev.html']",ba,26,yes,no,1,2015-05-20T12:34:36.483570,3,de,no,4,0,6,no,twitter,yes,1,"Softwareentwickler, Frontend",angestellt,4,no,de,,0,abi,m,/static/templates/forms/questions3.de.html,"Bachelor of Science, Angewandte Informatik",2015-05-20T12:35:24.388Z,0,no,5,3
9de567008b7444dea2e0fec3a80cbd5c,"['histogram.semantic.normal.html', 'parsequerystring.semantic.abbrev.html', 'concatlists.semantic.single.html', 'readini.syntactic.normal.html', 'countchildren.syntactic.abbrev.html', 'codestructure.syntactic.single.html']",none,26,yes,no,1,2015-05-21T09:20:59.507313,1,de,no,4,0,5,no,Twitter,no,3,Freelancer,selbststÃ¤ndig,4,2013,de,,3,abi,m,/static/templates/forms/questions3.de.html,Keiner,2015-05-21T09:21:50.907Z,0,yes,7,0
a1f5b052bf2540dcaf5693aec331ed01,"['countchildren.semantic.normal.html', 'codestructure.semantic.single.html', 'readini.semantic.abbrev.html', 'parsequerystring.syntactic.normal.html', 'concatlists.syntactic.single.html', 'histogram.syntactic.abbrev.html']",lehre,37,yes,no,1,2015-05-20T13:34:13.712081,4,de,no,5,3,6,yes,Twitter,yes,0,Software-Entwickler,angestellt,2,2013,de,"Pascal/Delphi, Basic",0,abi,m,/static/templates/forms/questions3.de.html,Industrietechnologe,2015-05-20T13:35:04.446Z,2,yes,10,7
7140e75721074680a24636577baa4c2c,"['parsequerystring.semantic.abbrev.html', 'concatlists.semantic.single.html', 'histogram.semantic.normal.html', 'readini.syntactic.single.html', 'countchildren.syntactic.abbrev.html', 'codestructure.syntactic.normal.html']",ba,32,yes,no,1,2015-05-21T20:41:26.701314,3,de,no,4,1,5,no,Twitter,yes,2,Master of Science Informatik,student,1,2013,de,"Java, PHP, F#, R, JavaScript, C, C++",1,abi,m,/static/templates/forms/questions3.de.html,Bachelor of Science Informatik,2015-05-21T20:42:17.617Z,0,yes,13,10
3be5a6f61b1741e5bda3bc773036d5d8,"['readini.semantic.normal.html', 'codestructure.semantic.abbrev.html', 'countchildren.semantic.single.html', 'concatlists.syntactic.abbrev.html', 'parsequerystring.syntactic.single.html', 'histogram.syntactic.normal.html']",msc,25,yes,no,2,2015-05-20T12:39:55.607209,4,de,yes,6,0,6,no,,no,2,Consultant,selbststÃ¤ndig,2,no,de,,2,abi,m,/static/templates/forms/questions3.de.html,MSc.,2015-05-20T12:41:08.730Z,2,yes,8,6
0ba6d88b74f04445941144bfc0fa222d,"['countchildren.semantic.single.html', 'readini.semantic.normal.html', 'codestructure.semantic.abbrev.html', 'histogram.syntactic.abbrev.html', 'parsequerystring.syntactic.single.html', 'concatlists.syntactic.normal.html']",none,37,yes,no,1,2015-05-20T13:05:05.782236,4,de,no,5,3,6,no,Empfehlung eines Kollegen,no,2,"Vorstand, Entwicklungsleiter",selbststÃ¤ndig,4,no,de,"Delphi, Visual Basic 6.0, Fortran",1,abi,m,/static/templates/forms/questions3.de.html,Chefabiturient,2015-05-20T13:05:55.662Z,4,yes,16,12
00b7d4aba419442ba0f98b006d885575,"['readini.semantic.normal.html', 'codestructure.semantic.single.html', 'countchildren.semantic.abbrev.html', 'concatlists.syntactic.abbrev.html', 'histogram.syntactic.single.html', 'parsequerystring.syntactic.normal.html']",lehre,20,yes,no,0,2015-05-20T13:09:04.931675,4,de,no,4,0,6,no,Kollege,no,1,Softwareentwickler .NET,angestellt,2,no,de,,1,mr,m,/static/templates/forms/questions3.de.html,Fachinformatiker Anwendungsentwicklung,2015-05-20T13:09:54.916Z,2,yes,4,4
e3d36e7a919a42d4859dae9722239bda,"['countchildren.semantic.single.html', 'readini.semantic.abbrev.html', 'codestructure.semantic.normal.html', 'parsequerystring.syntactic.single.html', 'histogram.syntactic.abbrev.html', 'concatlists.syntactic.normal.html']",lehre,32,yes,no,1,2015-05-20T13:21:50.455657,4,de,no,4,0,6,no,"Ich weiÃŸ nciht mehr, ist ja schon ne weile her.",no,1,"Expert Consultant, IT Berater in der Finanzbranche mit Schwerpunkt Entwicklung & technische Teamleitung",angestellt,2,2013,de,"C#, C++, C, Java, PHP, JavaScript, CSS, HTML, VB.NET, Visual Basic 6, SQL, T-SQL, Ruby, Turbo Pascal",3,mr,m,/static/templates/forms/questions3.de.html,Fachinformatiker fÃ¼r Anwendungsentwicklung,2015-05-20T13:22:40.465Z,4,yes,18,10
be1b3b6aa0f2481cb47a38d935c9d5f0,"['codestructure.semantic.normal.html', 'countchildren.semantic.single.html', 'readini.semantic.abbrev.html', 'histogram.syntactic.normal.html', 'parsequerystring.syntactic.abbrev.html', 'concatlists.syntactic.single.html']",msc,30,yes,no,1,2015-05-20T13:45:35.721349,4,de,no,4,1,4,yes,Von dir selbst,yes,1,Softwareentwickler,angestellt,3,2013,de,"JavaScript, Python, Ruby, CoffeeScript, F#, PowerShell, Bash",1,other,m,/static/templates/forms/questions3.de.html,Dipl.-Inform. MSc. Informatics,2015-05-20T13:46:25.829Z,1,yes,14,12
42efb260aa64492d9423adcbc860eafe,"['readini.semantic.single.html', 'countchildren.semantic.abbrev.html', 'codestructure.semantic.normal.html', 'parsequerystring.syntactic.single.html', 'concatlists.syntactic.abbrev.html', 'histogram.syntactic.normal.html']",ba,32,yes,no,1,2015-05-20T13:23:20.104280,4,de,no,5,0,5,no,WeiÃŸ nicht mehr,no,1,Software Developer,angestellt,1,no,other,"Borland C++, Delphi Pascal,",1,other,m,/static/templates/forms/questions3.de.html,Bachelor,2015-05-20T13:24:10.078Z,1,yes,15,4
